commune,population,latitude,longitude
Abomey,92266,7.185556,1.988056
Abomey-Calavi,656358,6.448611,2.355556
Adja-Ouèrè,116282,7,2.616667
Adjarra,97424,6.515,2.666667
Adjohoun,75323,6.7,2.466667
Agbangnizoun,72549,7.074991,1.96866
Aguégués,44562,6.483333,2.533333
Akpro-Missérété,127249,6.5625,2.585278
Allada,127512,6.65,2.15
Aplahoué,171109,6.933333,1.683333
Athiémé,56483,6.5863,1.6732
Avrankou,128050,6.55,2.666667
Banikoara,246575,11.3,2.433333
Bantè,107181,8.416667,1.883333
Bassila,130091,9.016667,1.666667
Bembéréké,131255,10.225,2.668056
Bohicon,171781,7.2,2.066667
Bonou,44349,6.9,2.45
Bopa,96281,6.583333,1.983333
Boukoumbé,82450,10.183333,1.1
Cobly,67603,10.492222,0.999722
Comè,79989,6.4,1.883333
Copargo,70938,9.8375,1.548056
Cotonou,679012,6.366667,2.433333
Covè,51247,7.233333,2.3
Dangbo,96426,6.5847925,2.5507298
Dassa-Zoumè,112122,7.75,2.183333
Djakotomey,134028,6.9,1.716667
Djidja,123542,7.333333,1.933333
Djougou,267812,9.7,1.666667
Dogbo,103057,6.8,1.783333
Glazoué,124431,7.973611,2.24
Gogounou,117523,10.838611,2.836111
Grand-Popo,57636,6.283333,1.833333
Houéyogbé,101893,6.572774,1.861255
Ifangni,110973,6.666667,2.716667
Kalalé,168882,10.295278,3.378611
Kandi,179290,11.128611,2.936944
Karimama,66353,12.066667,3.183333
Kérou,100197,10.825,2.109444
Kétou,157352,7.358056,2.6075
Klouékanmè,128597,6.980278,1.842222
Kouandé,111540,10.331667,1.691389
Kpomassè,67648,6.4,1.966667
Lalo,119926,6.916667,1.883333
Lokossa,104961,6.633333,1.716667
Malanville,168641,11.866667,3.383333
Matéri,113958,10.697778,1.063333
Natitingou,103843,10.3,1.366667
N'Dali,113604,9.860833,2.718056
Nikki,151232,9.933333,3.208333
Ouaké,74289,9.661667,1.384722
Ouèssè,142017,8.483333,2.433333
Ouidah,162034,6.366667,2.083333
Ouinhi,59381,7,2.45
Parakou,255478,9.35,2.616667
Pehonko (Péhunco),78217,10.228333,2.001944
Pèrèrè,78988,9.799444,2.992778
Pobè,123677,6.966667,2.683333
Porto-Novo,264320,6.4759024,2.6118612
Sakété,114088,6.736389,2.658056
Savalou,144549,7.933333,1.966667
Savè,87177,8.033333,2.483333
Segbana,89081,10.927778,3.694444
Sèmè-Kpodji,222701,6.366667,2.616667
Sinendé,91672,10.344722,2.379167
Sô-Ava,118547,6.466667,2.416667
Tanguiéta,74675,10.616667,1.266667
Tchaourou,223138,8.883333,2.6
Toffo,101585,6.85,2.083333
Tori-Bossito,57632,6.503056,2.145
Toucountouna,39779,10.498611,1.375556
Toviklin,88611,6.833333,1.816667
Za-Kpota,132818,7.230278,2.215278
Zangnanado (Zagnanado),55061,7.266667,2.35
Zè,106913,6.783333,2.3
Zogbodomey,92935,7.083333,2.1
