province,population,area,capital,latitude,longitude
Balé,"213,897","4,595",Boromo,11.75,-2.933333
Bam,"277,092","4,084",Kongoussi,13.333333,-1.533333
Banwa,"267,934","5,882",Solenzo,12.183333,-4.083333
Bazèga,"238,202","3,963",Kombissiri,12.066667,-1.333333
Bougouriba,"102,507","2,812",Diébougou,10.966667,-3.25
Boulgou,"542,286","6,692",Tenkodogo,11.783333,-0.366667
Boulkiemdé,"498,008","4,269",Koudougou,12.25,-2.366667
Comoé,"400,534","15,277",Banfora,10.630833,-4.758889
Ganzourgou,"319,830","4,178",Zorgho,12.25,-0.616667
Gnagna,"407,739","8,468",Bogandé,12.966667,-0.15
Gourma,"304,169","11,117",Fada-N'Gourma,12.05,0.366667
Houet,"902,662","11,568",Bobo-Dioulasso,11.183333,-4.283333
Ioba,"197,186","3,289",Dano,11.1462077,-3.0629868
Kadiogo,"1,523,980","2,805",Ouagadougou,12.357222,-1.535278
Kénédougou,"283,463","8,137",Orodara,10.9747916,-4.9271538
Komandjoari,"80,047","5,048",Gayéri,12.65,0.5
Kompienga,"75,662","7,029",Pama,11.25,0.7
Kossi,"272,233","7,324",Nouna,12.733333,-3.866667
Koulpélogo,"259,395","2,497",Ouargaye,11.5,0.05
Kouritenga,"330,342","2,622",Koupéla,12.179444,-0.351667
Kourwéogo,"136,017","1,588",Boussé,12.666667,-1.8975
Léraba,"124,422","3,129",Sindou,10.65,-5.166667
Loroum,"142,990","3,592",Titao,13.7682174,-2.0727491
Mouhoun,"298,088","6,668",Dédougou,12.466667,-3.466667
Nahouri,"155,463","3,754",Pô,11.166667,-1.15
Namentenga,"327,749","6,464",Boulsa,12.666667,-0.583333
Nayala,"162,869","3,919",Toma,12.766667,-2.883333
Noumbiel,"69,992","2,736",Batié,9.883333,-2.916667
Oubritenga,"237,290","2,778",Ziniaré,12.583333,-1.3
Oudalan,"197,240","9,797",Gorom-Gorom,14.45,-0.233333
Passoré,"322,873","3,867",Yako,12.966667,-2.266667
Poni,"254,371","7,365",Gaoua,10.316667,-3.166667
Sanguié,"297,230","5,178",Réo,12.316667,-2.466667
Sanmatenga,"598,232","9,281",Kaya,13.083333,-1.083333
Séno,"264,815","6,863",Dori,14.03,-0.03
Sissili,"212,628","7,136",Léo,11.1,-2.1
Soum,"348,341","12,222",Djibo,14.1,-1.633333
Sourou,"219,826","5,765",Tougan,13.066667,-3.066667
Tapoa,"341,782","14,594",Diapaga,12.066667,1.783333
Tuy,"224,159","5,639",Houndé,11.5,-3.516667
Yagha,"159,485","6,468",Sebba,13.433333,0.533333
Yatenga,"547,952","6,990",Ouahigouya,13.583333,-2.416667
Ziro,"175,607","5,139",Sapouy,11.554444,-1.773611
Zondoma,"168,955","1,758",Gourcy,13.216667,-2.35
Zoundwéogo,"244,714","3,604",Manga,11.666667,-1.066667
