Department,latitude,longitude,population
Abengourou,6.733333,-3.483333,"336,148"
Abidjan,5.316667,-4.033333,"4,707,404"
Aboisso,5.466667,-3.2,"307,852"
Adiaké,5.283333,-3.3,"83,547"
Adzopé,6.166667,-3.983333,"193,518"
Agboville,5.933333,-4.216667,"292,109"
Agnibilékrou,7.1287573,-3.2048348,"168,188"
Akoupé,6.3843124,-3.8866371,"119,028"
Alépé,5.5,-3.666667,"125,877"
Arrah,6.666667,-3.966667,"80,345"
Attiégouakro,6.766667,-5.116667,"45,517"
Bangolo,7.016667,-7.483333,"318,129"
Béoumi,7.666667,-5.583333,"154,206"
Bettié,6.066667,-3.4,"56,096"
Biankouma,7.733333,-7.616667,"154,300"
Bloléquin,6.566667,-8,"123,336"
Bocanda,7.066667,-4.5,"126,910"
Bondoukou,8.033333,-2.8,"333,707"
Bongouanou,6.65,-4.2,"165,307"
Botro,7.85,-5.316667,"81,424"
Bouaflé,6.983333,-5.75,"409,683"
Bouaké,7.683333,-5.016667,"680,694"
Bouna,9.266667,-3,"114,625"
Boundiali,9.516667,-6.483333,"127,684"
Buyo,6.233333,-7.05,"183,875"
Dabakala,8.366667,-4.433333,"189,254"
Dabou,5.316667,-4.383333,"148,874"
Daloa,6.883333,-6.45,"591,633"
Danané,7.266667,-8.166667,"267,148"
Daoukro,7.05,-3.966667,"159,085"
Dianra,8.766667,-6.25,"96,579"
Didiévi,7.133333,-4.9,"93,699"
Dikodougou,9.066667,-5.766667,"80,578"
Dimbokro,6.65,-4.7,"91,056"
Divo,5.833333,-5.366667,"380,220"
Djékanou,6.483333,-5.116667,"26,510"
Doropo,9.816667,-3.35,"66,664"
Duékoué,6.733333,-7.35,"408,148"
Facobly,7.3891711,-7.3766372,"76,507"
Ferkessédougou,9.583333,-5.2,"143,263"
Fresco,5.083333,-5.566667,"101,298"
Gagnoa,6.133333,-5.933333,"602,097"
Gbéléban,9.583333,-8.133333,"18,181"
Grand-Bassam,5.2,-3.733333,"179,063"
Grand-Lahou,5.133333,-5.016667,"151,313"
Guéyo,5.683333,-6.066667,"83,680"
Guiglo,6.55,-7.483333,"176,688"
Guitry,5.516667,-5.233333,"146,748"
Issia,6.483333,-6.583333,"327,901"
Jacqueville,5.2,-4.416667,"56,308"
Kani,8.483333,-6.6,"73,889"
Kaniasso,9.816667,-7.516667,"58,216"
Katiola,8.133333,-5.1,"106,905"
Kong,9.15,-4.616667,"87,929"
Korhogo,9.416667,-5.616667,"536,851"
Koro,8.55,-7.466667,"59,210"
Kouassi-Kouassikro,7.341414,-4.67709,"29,612"
Kouibly,7.25,-7.233333,"116,608"
Kounahiri,7.8,-5.833333,"77,679"
Koun-Fao,7.483333,-3.25,"116,230"
Kouto,9.9,-6.416667,"129,598"
Lakota,5.85,-5.683333,"202,201"
Madinani,9.616667,-6.95,"39,704"
Man,7.4,-7.55,"334,166"
Mankono,8.05,-6.183333,"215,500"
M'Bahiakro,7.466667,-4.333333,"79,768"
M'Batto,6.466667,-4.366667,"106,964"
M'Bengué,10,-5.9,"87,811"
Méagui,5.4,-6.566667,"320,975"
Minignan,10,-7.833333,"38,199"
Nassian,8.45,-3.466667,"44,528"
Niakaramandougou,8.666667,-5.283333,"133,818"
Odienné,9.5,-7.566667,"91,691"
Ouangolodougou,9.966667,-5.15,"236,766"
Ouaninou,8.233333,-7.866667,"48,805"
Oumé,6.383333,-5.416667,"274,020"
Prikro,7.633333,-3.983333,"72,789"
Sakassou,7.45,-5.283333,"94,525"
Samatiguila,9.816667,-7.566667,"17,483"
Sandégué,7.95,-3.583333,"56,215"
San-Pédro,4.75,-6.633333,"631,156"
Sassandra,4.95,-6.083333,"299,500"
Séguéla,7.966667,-6.666667,"198,445"
Séguélon,9.35,-7.116667,"26,305"
Sikensi,5.666667,-4.566667,"78,439"
Sinématiali,9.583333,-5.383333,"58,612"
Sinfra,6.6167488,-5.9089494,"238,015"
Sipilou,7.866667,-8.1,"41,868"
Soubré,5.783333,-6.6,"464,554"
Taabo,6.233333,-5.133333,"56,422"
Tabou,4.422,-7.35,"195,510"
Taï,5.866667,-7.45,"102,948"
Tanda,7.8,-3.166667,"77,555"
Téhini,9.61,-3.666667,"41,350"
Tengréla,10.483333,-6.4,"118,405"
Tiapoum,5.133333,-3.016667,"72,158"
Tiassalé,5.9,-4.833333,"179,882"
Tiébissou,7.15,-5.233333,"98,734"
Touba,8.283333,-7.683333,"75,032"
Toulépleu,6.566667,-8.416667,"56,992"
Toumodi,6.55,-5.016667,"127,825"
Transua,7.55,-3.016667,"83,478"
Vavoua,7.383333,-6.483333,"400,912"
Yakassé-Attobrou,6.183333,-3.65,"76,277"
Yamoussoukro,6.816667,-5.283333,"310,056"
Zouan-Hounien,6.916667,-8.216667,"195,082"
Zoukougbeu,6.766667,-6.866667,"110,514"
Zuénoula,7.433333,-6.05,"214,646"
