District,Capital,latitude,longitude
Abidjan,Abidjan,5.316667,-4.033333
Bas-Sassandra,San-Pédro,4.75,-6.633333
Comoé,Abengourou,6.733333,-3.483333
Denguélé,Odienné,9.5,-7.566667
Gôh-Djiboua,Gagnoa,6.133333,-5.933333
Lacs,Dimbokro,6.65,-4.7
Lagunes,Dabou,5.316667,-4.383333
Montagnes,Man,7.4,-7.55
Sassandra-Marahoué,Daloa,6.883333,-6.45
Savanes,Korhogo,9.416667,-5.616667
Vallée du Bandama,Bouaké,7.683333,-5.016667
Woroba,Séguéla,7.966667,-6.666667
Yamoussoukro,Yamoussoukro,6.816667,-5.283333
Zanzan,Bondoukou,8.033333,-2.8
