Capital,latitude,longitude,population,area
Abéïbara,19.35,1.845,"7,331","23,750"
Ansongo,15.659444,0.501667,"85,847","23,614"
Bafoulabé,13.808333,-10.830556,"176,555","20,220"
Bamako,12.65,-8,"838,315",252
Banamba,13.55,-7.45,"149,965","7,500"
Bandiagara,14.35,-3.611111,"213,348","10,520"
Bankass,14.066667,-3.516667,"184,021","9,054"
Barouéli,13.066667,-6.833333,"160,673","4,170"
Bla,12.95,-5.75,"247,609","6,200"
Bougouni,11.416667,-7.483333,"272,522","20,028"
Bourem,16.953333,-0.353889,"78,925","43,000"
Diéma,14.539,-9.19,"140,107","12,440"
Dioïla,12.483333,-6.8,"341,400","12,794"
Diré,16.256111,-3.41,"76,033","2,600"
Djenné,13.905556,-4.555,"160,591","4,563"
Douentza,15,-2.95,"152,185","23,481"
Gao,16.266667,-0.05,"145,633","31,250"
Goundam,16.416667,-3.666667,"122,772",
Gourma-Rharous,16.88,-1.9238,"56,784",
Kadiolo,10.555556,-5.759722,"138,156",
Kangaba,11.933333,-8.416667,"82,812",
Kati,12.746667,-8.071389,"458,333",
Kayes,14.45,-11.433333,"350,082","22,190"
Kéniéba,13.1,-11.4,"165,567",
Kidal,18.438889,1.408333,"16,923","21,353"
Kita,13.038889,-9.4875,"278,111","35,250"
Kolokani,13.590833,-8.034167,"196,644",
Kolondiéba,11.083333,-6.9,"132,718","9,200"
Koro,14.063889,-3.075278,"263,788","10,937"
Koulikoro,12.861111,-7.558333,"144,006",
Koutiala,12.383333,-5.466667,"355,189","8,740"
Macina,13.961111,-5.358333,"195,463","11,750"
Ménaka,15.916667,2.4,"25,571",
Mopti,14.495833,-4.198611,"232,735","7,262"
Nara,15.168056,-7.2875,"190,284","30,000"
Niafunké,15.931111,-3.99,"135,006","12,000"
Niono,14.25,-5.986111,"203,353","23,063"
Nioro,15.231862,-9.589356,"253,984","11,060"
San,13.3,-4.9,"229,607","7,262"
Ségou,13.45,-6.266667,"477,457","10,844"
Sikasso,11.316667,-5.666667,"431,936","15,375"
Ténenkou,14.455556,-4.918056,"142,806",
Tessalit,20.201111,1.0125,"5,857","39,000"
Tin-Essako,18.45,2.488889,935,"39,000"
Tombouctou,16.775833,-3.009444,"76,766","347,438"
Tominian,13.283333,-4.583333,"164,587","6,573"
Yanfolila,11.178611,-8.155556,"157,132","9,240"
Yélimané,15.118,-10.572,"141,693","5,700"
Yorosso,12.355556,-4.777778,"123,119","5,500"
Youwarou,15.375,-4.2625,"77,699",
