Province,Capital,area,population,latitude,longitude
Cabo Delgado,Pemba,"78,778","1,893,156",-12.966667,40.55
Gaza,Xai-Xai,"75,334","1,416,810",-25.05,33.65
Inhambane,Inhambane,"68,775","1,499,479",-23.865,35.383333
Manica,Chimoio,"62,272","1,933,522",-19.116667,33.45
Maputo,Matola,"22,693","1,709,058",-25.966667,32.466667
Nampula,Nampula,"79,010","5,008,793",-15.116667,39.266667
Niassa,Lichinga,"122,827","1,656,906",-13.316667,35.233333
Sofala,Beira,"67,753","2,048,676",-19.833333,34.85
Tete,Tete,"98,417","2,517,444",-16.166667,33.6
Zambezia,Quelimane,"103,478","4,802,365",-17.876389,36.887222
