prefecture,population,capital,latitude,longitude,type
Agou,"84,890",Agou-Gadzepé,6.846969,0.7138804,
Akébou,"62,245",Kougnohou,7.6563004,0.7908764,new
Amou,"105,091",Amlamé,7.460258,0.9029223,
Anié,"95,090",Anié,7.754599,1.1935417,new
Assoli,"51,491",Bafilo,9.353529,1.2469899,
Avé,"97,830",Kévé,6.4302666,0.9293173,
Bas-Mono,"88,846",Afagnangan,6.4928155,1.6370868,new
Bassar,"119,717",Bassar,9.2610732,0.7782015,
Binah,"70,054",Pagouda,9.7526376,1.3267143,
Blitta,"137,658",Blitta,8.3222742,0.9790449,
Cinkassé,"78,592",Cinkassé,11.101131,0.0105104,new
Dankpen,"130,723",Guérin-Kouka,9.6877265,0.6084436,
Danyi,"38,742",Danyi-Apéyémé,7.2023798,0.6936828,
Doufelgou,"78,635",Niamtougou,9.7644736,1.1072591,
Est-Mono,"121,789",Elavagnon,7.953226,1.282206,
Golfe,"1,570,283",Lomé,6.131944,1.222778,
Haho,"247,817",Notsé,6.9475373,1.1692973,
Kéran,"94,061",Kandé,9.9540191,1.0458676,
Kloto,"139,043",Kpalimé,6.9067189,0.6318917,
Kozah,"225,259",Kara,9.5487848,1.1972291,
Kpélé,"75,890",Kpélé-Adéta,7.1277672,0.7297003,new
Kpendjal,"155,091",Mandouri,10.8488229,0.8176447,
Lacs,"172,148",Aného,6.2283692,1.5810777,
Moyen-Mono,"77,286",Tohoun,7.0223532,1.6128239,
Ogou,"226,308",Atakpamé,7.526944,1.126667,
Oti,"190,543",Mango,10.355556,0.475556,
Sotouboua,"158,425",Sotouboua,8.5621768,0.9758723,
Tandjouaré,"117,519",Tandjouaré,10.6696657,0.1990598,
Tchamba,"131,674",Tchamba,9.028714,1.4156777,
Tchaoudjo,"190,114",Sokodé,8.9860937,1.1395377,
Tône,"286,479",Dapaong,10.866667,0.2,
Vo,"210,075",Vogan,6.3342704,1.5298724,
Wawa,"100,974",Badou,7.5852409,0.6086942,
Yoto,"165,596",Tabligbo,6.5892815,1.4984084,
Zio,"295,177",Tsévié,6.4317176,1.2106224,
Plaine de Mo,,Djarekpanga,8.7821376,0.5606617,
