Name,latitude,longitude
Adelaide,-32.70747,26.29564
Aliwal North,-30.69366,26.71141
Apel,-24.41445,29.74991
Ashton,-33.83136,20.05594
Balfour,-26.65,28.583333
Barberton,-25.78842,31.05319
Barkly West,-28.53537,24.52151
Beaufort West,-32.35671,22.58295
Bela-Bela,-24.883333,28.283333
Belfast,-25.6909101,30.0345475
Bergville,-28.73122,29.35187
Bethlehem,-28.23078,28.30707
Bhucanana,-28.601,31.74
Bizana,-30.85907,29.85384
Bloemfontein,-29.12107,26.214
Boshof,-28.53914,25.23965
Bothaville,-27.3887,26.61701
Bredasdorp,-34.53215,20.04031
Brits,-25.63473,27.78022
Bultfontein,-28.286944,26.150556
Burgersdorp,-30.99766,26.32862
Burgersfort,-24.67554,30.32877
Bushbuckridge,-24.83599,31.06718
Cala,-31.52356,27.6952
Caledon,-34.23,19.428333
Calvinia,-31.47069,19.77601
Camperdown,-29.72868,30.54256
Cape Town,-33.92584,18.42322
Carletonville,-26.36094,27.39767
Carnarvon,-30.96827,22.13303
Carolina,-26.06927,30.11489
Ceres,-33.36889,19.31096
Christiana,-27.92,25.16
Chuniespoort,-24.229167,29.496667
Clanwilliam,-32.18173,18.89217
Cofimvaba,-32.00115,27.58045
Colesberg,-30.71999,25.09719
Cradock,-32.16422,25.61918
Creighton,-30.0272,29.83955
Daniëlskuil,-28.18873,23.53951
Dannhauser,-28.0151,30.05658
De Aar,-30.64966,24.01229
Delareyville,-26.68638,25.45907
Delmas,-26.1466,28.68322
Dendron,-23.36669,29.32371
Dewetsdorp,-29.58274,26.66511
Douglas,-29.05531,23.7743
Dundee,-28.16678,30.23371
Durban,-29.8579,31.0292
Dutywa,-32.1,28.3
East London,-33.01105,27.91005
Ermelo,-26.53333,29.98333
Eshowe,-28.88648,31.4699
Estcourt,-29.01269,29.86619
Ficksburg,-28.87368,27.88129
Flagstaff,-31.08042,29.49522
Fort Beaufort,-32.77477,26.63376
Frankfort,-27.283333,28.516667
Ganyesa,-26.59612,24.17612
Garies,-30.56223,17.98905
Gcuwa,-32.33083,28.14981
George,-33.963,22.46173
Germiston,-26.23481,28.17665
Giyani,-23.30246,30.71868
Graaff-Reinet,-32.25,24.55
Grahamstown,-33.30421,26.53276
Greytown,-29.06416,30.59279
Groblersdal,-25.16843,29.39412
Groblershoop,-28.89531,21.98378
Harding,-30.57643,29.88401
Hartswater,-27.74964,24.79712
Heidelberg,-26.50476,28.35921
Hermanus,-34.4110328,19.2399948
Himeville,-29.74674,29.51361
Hlabisa,-28.14519,31.87719
Hluhluwe,-28.03333,32.28333
Hoedspruit,-24.35122,30.95332
Hopetown,-29.62464,24.08518
Howick,-29.47795,30.23057
Impendle,-29.60049,29.86561
Ixopo,-30.15,30.08333
Izingolweni,-30.78409,30.12294
Jane Furse,-24.76021,29.86993
Jansenville,-32.94305,24.67218
Jeffreys Bay,-34.033333,24.916667
Johannesburg,-26.20517,28.04981
Jozini,-27.4296,32.06658
Kakamas,-28.77341,20.6147
Kareedouw,-33.951944,24.289444
Kathu,-27.69569,23.04929
Kimberley,-28.73226,24.76232
Kirkwood,-33.39829,25.44279
Klerksdorp,-26.85213,26.66672
Knysna,-34.03664,23.0497
Koffiefontein,-29.40661,25.00309
Kokstad,-30.54723,29.42412
Komga,-32.57704,27.892
Koster,-25.86301,26.89756
Kroonstad,-27.65036,27.23488
Krugersdorp,-26.09283,27.7907
Kuruman,-27.4524,23.43246
KwaDukuza,-29.333333,31.291667
KwaMbonambi,-28.59827,32.08939
Kwangwanase,-26.996,32.752
Ladismith,-33.49331,21.26755
Lady Frere,-31.70312,27.2329
Lady Grey,-30.71085,27.21613
Ladybrand,-29.19448,27.45739
Ladysmith,-28.55391,29.7827
Laingsburg,-33.19495,20.85872
Lephalale,-23.666667,27.75
Libode,-31.54332,29.0164
Lichtenburg,-26.152,26.15968
Louis Trichardt,-23.04385,29.90319
Lydenburg,-25.0978,30.45967
Maclear,-31.07104,28.35183
Mahikeng,-25.86522,25.64421
Makapanstad,-25.24373,28.1262
Malalane,-25.483333,31.516667
Malmesbury,-33.46066,18.7287
Mandeni,-29.157,31.408
Maphumulo,-29.1,30.975
Marble Hall,-24.96627,29.29068
Matatiele,-30.34357,28.81161
Melmoth,-28.58664,31.39783
Meyerton,-26.55987,28.0195
Middelburg,-25.768417,29.478333
Mier,-26.74261,20.02895
Modimolle,-24.7,28.406111
Modjadjiskloof,-23.7,30.133333
Mogwase,-25.18505,27.26654
Mokopane,-24.183889,29.012778
Molteno,-31.39676,26.36246
Mooi River,-29.20824,29.9946
Mookgophong,-24.516667,28.716667
Mossel Bay,-34.18307,22.14605
Mount Frere,-30.90173,28.99239
Mthatha,-31.566667,28.766667
Mtubatuba,-28.41789,32.18483
Mtwalume,-30.49074,30.63039
Musina,-22.338056,30.041667
Mutale,-22.46972,30.87533
Ndwedwe,-29.51686,30.92687
Nelspruit,-25.47448,30.97033
Newcastle,-27.75796,29.9318
Ngcobo,-31.675,28
Nkandla,-28.6207,31.09067
Nongoma,-27.8918205,31.6417718
Nquthu,-28.232,30.566
Ntabamhlophe,-29.1579575,29.6442908
Oudtshoorn,-33.59234,22.20548
Paarl,-33.73378,18.97523
Parys,-26.9033,27.45727
Paulpietersburg,-27.42426,30.81689
Peddie,-33.20059,27.11385
Petrusville,-30.08113,24.65931
Phalaborwa,-23.94299,31.14107
Phuthaditjhaba,-28.52423,28.81582
Piet Retief,-27.00706,30.81323
Pietermaritzburg,-29.61679,30.39278
Piketberg,-32.90323,18.75704
Plettenberg Bay,-34.05274,23.3716
Pofadder,-29.1283,19.39491
Polokwane,-23.90449,29.46885
Pongola,-27.37808,31.61904
Port Alfred,-33.59057,26.89104
Port Elizabeth,-33.91799,25.57007
Port Nolloth,-29.25188,16.8697
Port Shepstone,-30.74137,30.45499
Port St Johns,-31.6288,29.5369
Postmasburg,-28.33392,23.06541
Potchefstroom,-26.71667,27.1
Pretoria,-25.70694,28.22944
Prieska,-29.66409,22.74742
Prince Albert,-33.22263,22.02993
Queenstown,-31.89756,26.87533
Qumbu,-31.16304,28.87056
Randfontein,-26.17843,27.69027
Reitz,-27.80138,28.42726
Richards Bay,-28.77542,32.054
Richmond,-29.866667,30.266667
Riversdale,-34.096944,21.262222
Rustenburg,-25.666667,27.25
Sasolburg,-26.81593,27.82971
Schweizer-Reneke,-27.18871,25.32931
Secunda,-26.55,29.16667
Senwabarwana,-23.271,29.123
Setlagole,-26.287,25.117
Siyabuswa,-25.11319,29.04454
Somerset East,-32.72173,25.58804
Springbok,-29.666667,17.883333
Standerton,-26.93365,29.24152
Stellenbosch,-33.93462,18.86676
Stutterheim,-32.57076,27.42396
Swellendam,-34.02262,20.44171
Tarkastad,-32.00893,26.25935
Taung,-27.533333,24.785556
Thabazimbi,-24.59165,27.41155
Theunissen,-28.41098,26.70107
Thohoyandou,-22.94564,30.48497
Trompsburg,-30.03363,25.78041
Tugela Ferry,-28.74649,30.45126
Tzaneen,-23.83322,30.16351
Ulundi,-28.33523,31.41617
Umzimkhulu,-30.263,29.94
Upington,-28.44776,21.25612
Utrecht,-27.65862,30.32166
Vanderbijlpark,-26.71171,27.83795
Ventersdorp,-26.31401,26.82223
Victoria West,-31.40364,23.11461
Volksrust,-27.36542,29.88175
Vrede,-27.43,29.16
Vredenburg,-32.90719,17.98997
Vredendal,-31.66833,18.50119
Vryburg,-26.95659,24.7284
Vryheid,-27.76952,30.79165
Warrenton,-28.11395,24.84753
Wartburg,-29.43184,30.57567
Welkom,-27.983056,26.720833
Westonaria,-26.31906,27.64861
Williston,-31.34048,20.91544
Willowmore,-33.29265,23.48954
Witbank,-25.87133,29.23323
Wolmaransstad,-27.1974,25.98311
Worcester,-33.645,19.443611
Zastron,-30.30225,27.08395
Zeerust,-25.53695,26.07512
eMpumalanga,-25.298,28.954
Tabankulu,-30.9584,29.3027
Mathulini,-30.541,30.595
Mothibistad,-27.2722116,23.4809127
