Province,Capital,Area,population,latitude,longitude
Eastern,Chipata,51476,1592661,-13.6366207,32.6424367
Southern,Choma,85283,1589926,-16.8079432,26.9877863
Central,Kabwe,94394,1307111,-14.4429333,28.4439646
Northern,Kasama,77650,1105824,-10.2269973,31.1860046
Lusaka,Lusaka,21896,2191225,-15.4210255,28.3009804
Luapula,Mansa,50567,991927,-11.1978494,28.8882977
Western,Mongu,126386,902974,-15.2696662,23.1336509
Copperbelt,Ndola,31328,1972317,-12.9709639,28.6414726
North-Western,Solwezi,125826,727044,-12.1831683,26.4041299
